component,bagofwords
com.amaze.filemanager.filesystem.EditableFileAbstraction,public Editable File Abstraction Context context switch Scheme case content this scheme SCHEME CONTENT String temp Name null Cursor Content Resolver query Openable Columns DISPLAY NAME move First Index catch Exception close Last Path Segment name hybrid Parcelable break file FILE path throw Null Pointer hierarchical Utils sanitize Input Hybrid default Illegal Argument cannot processed 
com.amaze.filemanager.filesystem.HybridFileParcelable,public Hybrid File Parcelable String path super Open Mode FILE this permission long date size boolean Directory Override Name name null length return else void mode Link link Date Size directory Path Permission create From Array describe Contents write dest flags ordinal Long Byte byte Builder append equals Object instanceof false hash Code result 
com.amaze.filemanager.filesystem.FileUtil,public static Output Stream final File target Context context throws Found Exception null Writable else Build VERSION CODES LOLLIPOP Document false return Content Resolver open KITKAT Media Store Hack Path Writes stream from external application specified path void write Storage Null Main Activity main Array List uris content String current Config Parallel Custom Async Callbacks Void Override Background retval Buffered Input buffered catch print Stack Trace document Single filename Name Last Segment contains substring last Index Data Utils data Instance Hybrid Open Mode UNKNOWN generate switch case FILE ROOT Normal Parent Application toast Resources allowed exists length cannot overwrite break output Helper parse SFTP DROPBOX Cloud cloud Dropbox Account strip upload true ONEDRIVE Drive GDRIVE Target Generic Copy DEFAULT BUFFER SIZE default byte while read flush Malformed finally close size Post Execute result paths Toast make Text saved single LENGTH LONG show multi files temp param base which create Temp External Files Create folder even card Kitkat deprecated link mkdirs created True creation successful boolean Directory Card Successful mode mkfile Mime Types Check readable reabable Readable Security writable Detects issues Existing delete directory possible within this either normal writing Access Framework Augendiagnose Dummy Paths Dirs index Absolute Android Unexpected Canonical Empty storage sdcard Determine higher Folder corresponding given existing flag indicating should original relative full equals Preference Manager Default Shared Preferences Constants PREFERENCE tree Tree parts split next find image Checks whether check starts With PREFIX Handler CLOUD GOOGLE Validate valid Filename FILENAME REGEX matcher 
com.amaze.filemanager.filesystem.SingletonUsbOtg,public static Singleton Instance instance null return void Root Nullable root Been Requested boolean this 
com.amaze.filemanager.filesystem.HybridFile,public Hybrid File Open Mode mode String path this name boolean Directory starts With else ends Sftp Root equals void generate Context context SFTP Util PREFIX Custom Path CUSTOM Cloud Handler CLOUD DRIVE ONEDRIVE GOOGLE GDRIVE DROPBOX null FILE rootmode Preference Manager Default Shared Preferences Boolean Constants PREFERENCE ROOTMODE false Build VERSION CODES KITKAT Read Card UNKNOWN return Local Drop Drive Google long last Modified throws Exception switch case Client Utils execute Template Override Long client mtime extract Remote From break Parcelable base Base Parent Date deprecated link length handle content resolvers size catch Size Helper method find Document data Account Metadata strip default Name Builder builder substring Index timeout Connect Timeout Malformed Returns parent various print Stack Trace Whether object refers directory file handles types files Config Instance true Shell Running stat Type DIRECTORY Found Folder folder Gets usable free space device Usable Space Disk Free Allocation Total Used Null Statvfs Response response Engine request retrieve disk Error querying server Buffer parsing reply total document list children Each Children Void Resource Info info Attributes SYMLINK symlink Attrs format Mtime Permission Integer Mask Permissions DEBUG Files Plugin Array List array retval clear Readable parse Handles getting input stream Input Stream which allows handling final open close super finally Content Resolver Source Storage cloud Dropbox Class Simple download Output output Enum schmizz sshj sftp WRITE CREAT exists Exists check existence Check simple other wise android util Patterns EMAIL ADDRESS matcher matches Last date mkdir mkdirs create Gdrive delete rmdir excluding extension found then whole returned Start Generates Layout Element adapted compatible element Currently supports only local filesystem show Thumbs layout 
com.amaze.filemanager.filesystem.RootHelper,Runs command stores output list listener handler thread link Main Activity Thread thus code callback must safe Command from root context Super param return results Null only passed blocking there public static Array List String Shell throws Running Exception interactive shell Provides caller executed worker background hence calls should superuser void Result Listener Interactive null wait Idle deprecated instead which runs third party level init supported Root Line input replace UNIX ESCAPE EXPRESSION Loads files path using basic filesystem callbacks Hybrid File Parcelable Files boolean show Hidden Found exists Directory long size length base Path parse Permission last Modified Name Mode Open FILE else catch generate Base Document Read Write Execute Whether specified reload conform that parent children looking Exists Parent true strings equals false Test directory TODO Avoid parsing count name contains split Utils trim starts With Link print Stack Trace break supposing Custom images whether available hidden Call Back type Callback mode storage sdcard cpath denied array ROOT isdirectory 
com.amaze.filemanager.filesystem.MediaStoreHack,Deletes file Returns true been successfully deleted otherwise does exist This operation recursive public static boolean final Context context File String where Media Store Columns DATA selection Args Absolute Path Content Resolver content files Files external exists Values values insert Images EXTERNAL CONTENT return Input Stream long size SIZE open catch Throwable null Output output From path resolver Cursor filecursor query Base DATE ADDED desc move First After Last close else image Index build Upon append Integer mkdir throws Exception Directory Write Temp album Temporary Album Failed create temporary parse format Locale ALBUM update Audio Parcel Descriptor finally mkfile false 
com.amaze.filemanager.filesystem.PasteHelper,public Paste Helper Hybrid File Parcelable paths null length throw Illegal Argument Exception operation this Override describe Contents return void write dest flags Array create From size 
com.amaze.filemanager.ssh.SshClientUtilTest,Test public void test Encrypt Decrypt With Password String testuser assert Equals Client Utils encrypt Path Necessary decrypt Minus Sign abcd efgh result True contains verify agdiuhdpost 
com.amaze.filemanager.activities.TextEditorActivityEspressoTest,Before public void context Instrumentation Registry Target Context File file default prop from Test test Open throws Exception Intent intent Text Editor Activity class Action ACTION VIEW Category CATEGORY DEFAULT Type plain Data activity Rule launch Count Down Latch waiter while equals Input String await count assert Equals foobar 
com.amaze.filemanager.activities.MainActivityTest,Test public void test Main Activity Controller controller Robolectric build class create start resume visible pause destroy 
com.amaze.filemanager.activities.TextEditorActivityTest,After public void tear Down Config Instance Terminate Test test Open File throws Exception file simulate Intent intent ACTION VIEW Data from generate Activity assert That text Text String Contents parse content streamprovider temp thisisatest Resolver Runtime Environment application Shadow shadow Shadows register Input Stream Byte Array Bytes Category CATEGORY DEFAULT Type plain Equals trim 
